name,prompt
palm,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A palm tree curving over a small mound of sand, fronds splayed, a coconut at the crown. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: faded green fronds, sand cream, brown trunk. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
palms-up,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: Two open hands side by side, palms turned upward, fingers relaxed. Rendered as a two-colour risograph print: grainy uneven ink, a third colour appearing only where the two layers overprint, visible off-registration, soft absorbent paper. Palette: sanguine red and soft peach overprint. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
pine,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A tall evergreen pine, layered boughs stepping down, short bare trunk. Rendered as an embroidered patch: visible satin-stitch thread direction catching the light, slightly raised fabric, a tight merrowed border around the edge, one or two loose fibres. Palette: three greens of thread, brown trunk, cream merrow. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
popcorn,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A striped tub overflowing with popcorn, a few pieces tumbling over the rim. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: red and white stripes, butter yellow, black ink. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
pushpin,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A map pin pushed in at an angle, round glossy head, chrome shaft. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: scarlet, black ink, chrome white highlight. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
rabbit,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A rabbit sitting upright, both ears raised, nose lifted, forepaws tucked. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: cream white, dove grey, pink inner ear, ink line. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
remote,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A 1980s television remote, rubber buttons in a grid, infrared window at the tip. Rendered as a two-colour risograph print: grainy uneven ink, a third colour appearing only where the two layers overprint, visible off-registration, soft absorbent paper. Palette: charcoal and fluorescent red. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
ring,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A plain band ring standing upright, one warm highlight on the curve. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: gold, black ink, cream sparkle. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
rose,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A rose in bloom on a thorned stem, two leaves, outer petals just turning. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: carmine petals, olive leaves, cream. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
running-shoe,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A retro running shoe from the side, side stripes, waffle sole, flat laces. Rendered as an embroidered patch: visible satin-stitch thread direction catching the light, slightly raised fabric, a tight merrowed border around the edge, one or two loose fibres. Palette: royal blue, white stripe, gum-tan sole, cream merrow. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
ship,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A three-masted ship under full sail, rigging picked out, bow wave curling. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: indigo sea, cream sails, dark hull. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
skate,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A white figure skate, laces criss-crossed and tied, toe pick on the blade. Rendered as an embroidered patch: visible satin-stitch thread direction catching the light, slightly raised fabric, a tight merrowed border around the edge, one or two loose fibres. Palette: ivory thread, silver blade, ribbon blue, cream merrow. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
skis,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A crossed pair of wooden skis with upturned tips, leather bindings, two poles behind. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: hickory wood, scarlet tips, alpine blue bindings. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
snowflake,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A single six-armed snowflake, branching arms, fine side spurs. Rendered as a two-colour risograph print: grainy uneven ink, a third colour appearing only where the two layers overprint, visible off-registration, soft absorbent paper. Palette: pale cyan and silver grey overprint. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
snowman,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A three-ball snowman, knitted scarf, carrot nose, coal buttons, twig arms. Rendered as a two-colour risograph print: grainy uneven ink, a third colour appearing only where the two layers overprint, visible off-registration, soft absorbent paper. Palette: pale cyan and warm orange overprint. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
soccer-boot,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A leather football boot from the side, screw-in studs, long laces under the sole. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: black leather, cream flash, tan sole. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
spotlight,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A theatre follow-spot on a tripod stand, barn doors open, lens catching the light. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: gunmetal, brass, marigold lens, black ink. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
stadium,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A small oval stadium from above at an angle, banked stands, four floodlight pylons. Rendered as an embroidered patch: visible satin-stitch thread direction catching the light, slightly raised fabric, a tight merrowed border around the edge, one or two loose fibres. Palette: grass green, cream stands, slate roof, silver merrow. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
star,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A five-pointed star, points slightly uneven, glowing from within. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: marigold yellow, black ink, cream Ben-Day. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
stethoscope,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A stethoscope coiled into a loop, chest piece at the front, sprung ear tips. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: chrome, black tubing, cream dial. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
sun-umbrella,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A striped beach umbrella tilted on its pole with a folding deck chair beneath it. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: coral and cream stripes, teak, sand. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
swords,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: Two sabres crossed, curved blades, ornate basket hilts, tassels at the pommels. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: steel blue-white, gold hilts, black ink. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
teddy-bear,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A well-loved teddy bear sitting with its legs out, one ear worn bald, stitched muzzle. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: honey mohair, jet eyes, cream muzzle, faded red ribbon. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
tennis,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A wooden tennis racket, strung gut, leather grip, a ball against the strings. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: honey wood, cream gut, optic yellow, oxblood grip. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
test-tube,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A round-bottomed laboratory flask on a small stand, liquid swirling, glass stopper. Rendered as a small chipped enamel tin sign: thick glossy enamel in flat bold shapes inside a simple border, chips showing bare steel, rust creeping in at the corners, two rivet holes. Palette: clear glass, acid green liquid, chipped cream enamel. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
top-hat,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A tall silk top hat, grosgrain band, slight sheen along the crown. Rendered as a matchbox label: exactly two ink colours on coarse grey board, deliberate misregistration between them, bold simplified shapes, softened corners. Palette: black and cream on grey board. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
trophy,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A two-handled cup trophy on a stepped plinth, fluted bowl, blank plaque. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: gold cup, ebony plinth, cream plaque. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
tshirt,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A plain short-sleeved t-shirt laid flat, ribbed collar, sleeves squared. Rendered as an embroidered patch: visible satin-stitch thread direction catching the light, slightly raised fabric, a tight merrowed border around the edge, one or two loose fibres. Palette: heather grey thread, white merrow. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
tv,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A wood-panelled 1970s television, rabbit-ear antennae splayed, chunky dials. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: walnut veneer, chrome dials, cream screen. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
videogame,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A handheld electronic game, small screen, chunky rubber buttons, speaker grille. Rendered as a two-colour risograph print: grainy uneven ink, a third colour appearing only where the two layers overprint, visible off-registration, soft absorbent paper. Palette: charcoal and fluorescent magenta. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
volcano,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: An erupting volcano, lava down one flank, ash plume curling from the crater. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: black cone, vermilion lava, grey plume, cream. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
wand,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A slim magic wand held point-up, five-pointed star at the tip, a few sparks. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: amethyst, gold star, black ink, cream sparks. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
water-wave,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A single wave curling over, foam breaking at the crest, spray off the lip. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: prussian blue, white foam, pale sky. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
whistle,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A referee's pea whistle on a braided cord, finger grip beneath, slot in the top. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: chrome white, black ink, scarlet cord. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
wine,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A wine bottle with a plain paper label, foil capsule, punt at the base. Rendered as a matchbox label: exactly two ink colours on coarse grey board, deliberate misregistration between them, bold simplified shapes, softened corners. Palette: bottle green and cream on grey board. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
world-map,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: An unrolled world map, continents outlined, latitude lines, both ends curling. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: sepia landmasses, faded ochre sea, cream. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
postcard-madagascar,"A 1960s large-letter souvenir postcard reading MADAGASCAR in fat block capitals, each letter filled with a different scene: baobabs on red earth, a lemur, rainforest canopy, a fishing pirogue. Faded offset colour with visible halftone rosettes and slight misregistration, a white postcard border, one soft-worn corner. Flat and front-on, no perspective, no drop shadow. Landscape orientation. A clean white border traces the edge of the card and everything outside it is fully transparent — PNG with alpha, nothing behind the card."
postcard-india,"A 1930s art-deco travel postcard for INDIA: a stylised geometric sunburst behind a domed palace, a decorated elephant in silhouette, stepped ghats down to a river. Flat stone-litho spot colours, strong diagonal composition, INDIA in slim deco capitals, cream card with a thin gold rule. Flat and front-on, no perspective, no drop shadow. Landscape orientation. A clean white border traces the edge of the card and everything outside it is fully transparent — PNG with alpha, nothing behind the card."
postcard-china,"A 1920s hand-tinted photographic postcard of CHINA: karst peaks over a still river, a sampan under sail, a temple roof in front. A sepia photographic base with delicate translucent hand-applied colour that strays outside the lines, deckled white border, CHINA in small serif caps at the foot. Flat and front-on, no perspective, no drop shadow. Landscape orientation. A clean white border traces the edge of the card and everything outside it is fully transparent — PNG with alpha, nothing behind the card."
postcard-japan,"A woodblock-print postcard of JAPAN: a snow-capped volcano behind cherry blossom, a torii gate standing in water. Flat carved colour fields, wood grain showing in the sky, a soft gradient at the horizon, cream mulberry paper, a small red seal in one corner. Flat and front-on, no perspective, no drop shadow. Landscape orientation. A clean white border traces the edge of the card and everything outside it is fully transparent — PNG with alpha, nothing behind the card."
postcard-lagos,"A 1970s offset photo postcard of LAGOS: a harbour skyline, boats on the lagoon, a market awning in front. Saturated slightly-green 70s film colour, glossy surface, a thick white border with rounded corners, LAGOS in a friendly sans serif along the bottom. Flat and front-on, no perspective, no drop shadow. Landscape orientation. A clean white border traces the edge of the card and everything outside it is fully transparent — PNG with alpha, nothing behind the card."
postcard-arctic-circle,"A silkscreened expedition postcard for the ARCTIC CIRCLE: pack ice and a low midnight sun, aurora banding the sky, a reindeer on the ridge. Four flat screened colours with visible registration offset and grainy ink on heavy cold-pressed board, ARCTIC CIRCLE in condensed capitals. Flat and front-on, no perspective, no drop shadow. Landscape orientation. A clean white border traces the edge of the card and everything outside it is fully transparent — PNG with alpha, nothing behind the card."
postcard-green-bay,"A 1950s chrome postcard of GREEN BAY: a floodlit snowy stadium at dusk, pine woods behind, a water tower on the skyline. Hyper-saturated glossy chrome-era colour with an unnaturally blue sky, a white scalloped border, GREEN BAY in script across one corner. Flat and front-on, no perspective, no drop shadow. Landscape orientation. A clean white border traces the edge of the card and everything outside it is fully transparent — PNG with alpha, nothing behind the card."
